Alt (m), Press (Pa), Dens (kg/m^3), Temp (K)
      1, 1.013130e+05,  1.225108e+00, 2.881435e+02
    101, 1.001175e+05,  1.213390e+00, 2.874935e+02
    201, 9.893354e+04,  1.201757e+00, 2.868435e+02
    301, 9.776091e+04,  1.190210e+00, 2.861935e+02
    401, 9.659955e+04,  1.178748e+00, 2.855435e+02
    501, 9.544939e+04,  1.167371e+00, 2.848935e+02
    601, 9.431035e+04,  1.156077e+00, 2.842435e+02
    701, 9.318234e+04,  1.144868e+00, 2.835935e+02
    801, 9.206527e+04,  1.133742e+00, 2.829435e+02
    901, 9.095908e+04,  1.122699e+00, 2.822935e+02
   1001, 8.986367e+04,  1.111738e+00, 2.816435e+02
   1101, 8.877897e+04,  1.100860e+00, 2.809935e+02
   1201, 8.770489e+04,  1.090063e+00, 2.803435e+02
   1301, 8.664136e+04,  1.079347e+00, 2.796935e+02
   1401, 8.558830e+04,  1.068712e+00, 2.790435e+02
   1501, 8.454563e+04,  1.058157e+00, 2.783935e+02
   1601, 8.351327e+04,  1.047682e+00, 2.777435e+02
   1701, 8.249113e+04,  1.037287e+00, 2.770935e+02
   1801, 8.147915e+04,  1.026971e+00, 2.764435e+02
   1901, 8.047725e+04,  1.016734e+00, 2.757935e+02
   2001, 7.948535e+04,  1.006574e+00, 2.751435e+02
   2101, 7.850336e+04,  9.964931e-01, 2.744935e+02
   2201, 7.753123e+04,  9.864892e-01, 2.738435e+02
   2301, 7.656887e+04,  9.765623e-01, 2.731935e+02
   2401, 7.561620e+04,  9.667120e-01, 2.725435e+02
   2501, 7.467315e+04,  9.569379e-01, 2.718935e+02
   2601, 7.373965e+04,  9.472396e-01, 2.712435e+02
   2701, 7.281562e+04,  9.376166e-01, 2.705935e+02
   2801, 7.190099e+04,  9.280686e-01, 2.699435e+02
   2901, 7.099568e+04,  9.185952e-01, 2.692935e+02
   3001, 7.009963e+04,  9.091959e-01, 2.686435e+02
   3101, 6.921276e+04,  8.998704e-01, 2.679935e+02
   3201, 6.833499e+04,  8.906183e-01, 2.673435e+02
   3301, 6.746626e+04,  8.814391e-01, 2.666935e+02
   3401, 6.660649e+04,  8.723324e-01, 2.660435e+02
   3501, 6.575562e+04,  8.632979e-01, 2.653935e+02
   3601, 6.491357e+04,  8.543352e-01, 2.647435e+02
   3701, 6.408027e+04,  8.454438e-01, 2.640935e+02
   3801, 6.325566e+04,  8.366234e-01, 2.634435e+02
   3901, 6.243966e+04,  8.278735e-01, 2.627935e+02
   4001, 6.163220e+04,  8.191939e-01, 2.621435e+02
   4101, 6.083322e+04,  8.105840e-01, 2.614935e+02
   4201, 6.004265e+04,  8.020435e-01, 2.608435e+02
   4301, 5.926042e+04,  7.935721e-01, 2.601935e+02
   4401, 5.848646e+04,  7.851692e-01, 2.595435e+02
   4501, 5.772071e+04,  7.768347e-01, 2.588935e+02
   4601, 5.696309e+04,  7.685679e-01, 2.582435e+02
   4701, 5.621355e+04,  7.603686e-01, 2.575935e+02
   4801, 5.547201e+04,  7.522364e-01, 2.569435e+02
   4901, 5.473841e+04,  7.441710e-01, 2.562935e+02
   5001, 5.401269e+04,  7.361718e-01, 2.556435e+02
   5101, 5.329478e+04,  7.282386e-01, 2.549935e+02
   5201, 5.258462e+04,  7.203710e-01, 2.543435e+02
   5301, 5.188214e+04,  7.125685e-01, 2.536935e+02
   5401, 5.118728e+04,  7.048309e-01, 2.530435e+02
   5501, 5.049997e+04,  6.971577e-01, 2.523935e+02
   5601, 4.982015e+04,  6.895486e-01, 2.517435e+02
   5701, 4.914776e+04,  6.820032e-01, 2.510935e+02
